time,data,ambient,sensor
2182846.0,40.3125,14.75,tc1
2182896.0,40.3125,14.75,tc1
2182946.0,40.3125,14.75,tc1
2182996.0,40.3125,14.75,tc1
2183046.0,40.25,14.75,tc1
2183096.0,41.0625,14.75,tc1
2183146.0,41.0625,14.75,tc1
2183196.0,41.0625,14.75,tc1
2183246.0,41.0625,14.75,tc1
2183296.0,41.0625,14.75,tc1
2183346.0,41.0625,14.75,tc1
2183396.0,41.0625,14.75,tc1
2183446.0,41.0625,14.75,tc1
2183496.0,40.25,14.75,tc1
2183546.0,40.25,14.75,tc1
2183596.0,40.25,14.75,tc1
2183646.0,40.25,14.75,tc1
2183696.0,40.25,14.75,tc1
2183746.0,40.25,14.75,tc1
2183796.0,40.25,14.75,tc1
2183846.0,40.25,14.75,tc1
2183896.0,40.25,14.75,tc1
2183946.0,40.25,14.75,tc1
2183996.0,40.25,14.75,tc1
2184046.0,40.25,14.75,tc1
2184096.0,40.25,14.75,tc1
2184146.0,40.3125,14.75,tc1
2184196.0,40.3125,14.75,tc1
2184246.0,40.3125,14.75,tc1
2184297.0,40.3125,14.75,tc1
2184347.0,40.25,14.75,tc1
2184397.0,40.25,14.75,tc1
2184447.0,40.25,14.75,tc1
2184498.0,40.25,14.75,tc1
2184547.0,40.25,14.75,tc1
2184597.0,40.25,14.75,tc1
2184647.0,40.25,14.75,tc1
2184697.0,41.0625,14.75,tc1
2184747.0,40.25,14.75,tc1
2184797.0,40.25,14.75,tc1
2184847.0,40.25,14.75,tc1
2184897.0,40.25,14.75,tc1
2184947.0,40.25,14.75,tc1
2184997.0,39.5,14.75,tc1
2185047.0,39.5,14.75,tc1
2185097.0,40.25,14.75,tc1
2185147.0,40.25,14.75,tc1
2185197.0,40.25,14.75,tc1
2185247.0,40.25,14.75,tc1
2185297.0,40.25,14.75,tc1
2185347.0,40.25,14.75,tc1
2185397.0,40.25,14.75,tc1
2185447.0,40.25,14.75,tc1
2185497.0,40.25,14.75,tc1
2185547.0,41.0625,14.75,tc1
2185597.0,41.0625,14.75,tc1
2185647.0,41.0625,14.75,tc1
2185697.0,40.25,14.75,tc1
2185747.0,40.25,14.75,tc1
2185797.0,40.25,14.75,tc1
2185847.0,41.0625,14.75,tc1
2185897.0,41.0625,14.75,tc1
2185947.0,41.0625,14.75,tc1
2185997.0,41.0625,14.75,tc1
2186047.0,41.0625,14.75,tc1
2186097.0,41.0625,14.75,tc1
2186147.0,41.8125,14.75,tc1
2186197.0,41.8125,14.75,tc1
2186247.0,41.8125,14.75,tc1
2186298.0,41.8125,14.75,tc1
2186349.0,41.8125,14.75,tc1
2186398.0,41.8125,14.75,tc1
2186449.0,41.8125,14.75,tc1
2186498.0,41.8125,14.75,tc1
2186548.0,41.8125,14.75,tc1
2186598.0,41.8125,14.75,tc1
2186648.0,41.8125,14.75,tc1
2186698.0,41.8125,14.75,tc1
2186748.0,41.8125,14.75,tc1
2186798.0,42.5625,14.75,tc1
2186848.0,42.5625,14.8125,tc1
2186898.0,41.8125,14.8125,tc1
2186948.0,41.8125,14.8125,tc1
2186998.0,41.8125,14.8125,tc1
2187048.0,41.8125,14.8125,tc1
2187098.0,41.8125,14.8125,tc1
2187148.0,41.875,14.8125,tc1
