time,data,ambient,sensor
3121912.0,25.125,22.6875,tc1
3121962.0,25.0625,22.6875,tc1
3122012.0,25.0625,22.6875,tc1
3122062.0,24.3125,22.6875,tc1
3122112.0,25.0625,22.6875,tc1
3122162.0,25.125,22.6875,tc1
3122212.0,25.125,22.6875,tc1
3122262.0,25.125,22.6875,tc1
3122312.0,25.125,22.6875,tc1
3122362.0,25.125,22.6875,tc1
3122412.0,25.0625,22.75,tc1
3122462.0,25.0625,22.75,tc1
3122512.0,25.0625,22.75,tc1
3122562.0,24.3125,22.75,tc1
3122612.0,25.125,22.75,tc1
3122662.0,25.125,22.75,tc1
3122712.0,25.125,22.75,tc1
3122762.0,25.125,22.75,tc1
3122812.0,24.375,22.75,tc1
3122862.0,25.125,22.75,tc1
3122912.0,25.125,22.75,tc1
3122962.0,25.125,22.75,tc1
3123012.0,25.0625,22.75,tc1
3123062.0,24.3125,22.75,tc1
3123112.0,25.0625,22.75,tc1
3123162.0,24.3125,22.75,tc1
3123212.0,25.0625,22.75,tc1
3123262.0,24.375,22.75,tc1
3123312.0,24.375,22.75,tc1
3123363.0,25.125,22.75,tc1
3123413.0,24.375,22.75,tc1
3123463.0,24.375,22.75,tc1
3123513.0,24.375,22.75,tc1
3123563.0,25.125,22.75,tc1
3123613.0,24.375,22.75,tc1
3123663.0,24.3125,22.75,tc1
3123714.0,24.3125,22.75,tc1
3123763.0,24.3125,22.75,tc1
3123813.0,25.0625,22.75,tc1
3123863.0,24.3125,22.75,tc1
3123913.0,24.375,22.6875,tc1
3123963.0,24.375,22.6875,tc1
3124013.0,24.375,22.6875,tc1
3124063.0,24.375,22.6875,tc1
3124113.0,24.375,22.6875,tc1
3124163.0,24.375,22.6875,tc1
3124213.0,25.125,22.6875,tc1
3124263.0,24.375,22.6875,tc1
3124313.0,25.125,22.6875,tc1
3124363.0,24.3125,22.6875,tc1
3124413.0,24.3125,22.75,tc1
3124463.0,24.3125,22.75,tc1
3124513.0,24.3125,22.75,tc1
3124563.0,24.375,22.75,tc1
3124613.0,24.375,22.75,tc1
3124663.0,24.375,22.75,tc1
3124713.0,24.375,22.75,tc1
3124763.0,24.375,22.75,tc1
3124813.0,24.375,22.75,tc1
3124863.0,24.375,22.75,tc1
3124913.0,24.375,22.75,tc1
3124963.0,24.375,22.75,tc1
3125013.0,24.375,22.75,tc1
3125064.0,24.375,22.75,tc1
3125114.0,24.375,22.75,tc1
3125164.0,24.375,22.75,tc1
3125214.0,24.375,22.75,tc1
3125264.0,24.375,22.75,tc1
3125314.0,24.375,22.75,tc1
3125364.0,24.375,22.75,tc1
3125414.0,24.375,22.75,tc1
3125464.0,24.375,22.75,tc1
3125514.0,24.375,22.75,tc1
3125564.0,24.375,22.75,tc1
3125614.0,24.375,22.75,tc1
3125664.0,24.375,22.75,tc1
3125714.0,24.375,22.75,tc1
3125764.0,24.375,22.75,tc1
3125814.0,24.375,22.75,tc1
3125864.0,24.375,22.75,tc1
3125914.0,24.375,22.6875,tc1
3125964.0,24.375,22.6875,tc1
3126014.0,24.375,22.6875,tc1
3126064.0,24.375,22.6875,tc1
3126114.0,24.375,22.6875,tc1
3126164.0,24.375,22.6875,tc1
3126214.0,24.375,22.6875,tc1
3126264.0,24.3125,22.6875,tc1
3126314.0,24.3125,22.6875,tc1
3126364.0,24.3125,22.6875,tc1
3126414.0,24.3125,22.6875,tc1
3126464.0,24.375,22.6875,tc1
3126514.0,24.375,22.6875,tc1
3126564.0,24.375,22.6875,tc1
3126614.0,24.375,22.6875,tc1
3126664.0,24.375,22.6875,tc1
3126714.0,24.375,22.6875,tc1
3126764.0,24.375,22.6875,tc1
3126814.0,24.375,22.6875,tc1
3126864.0,24.375,22.6875,tc1
3126914.0,24.3125,22.75,tc1
3126964.0,24.3125,22.75,tc1
3127014.0,24.3125,22.75,tc1
3127064.0,24.3125,22.75,tc1
3127114.0,24.375,22.75,tc1
3127164.0,24.375,22.75,tc1
3127214.0,24.375,22.75,tc1
3127264.0,24.375,22.75,tc1
3127314.0,24.375,22.75,tc1
3127365.0,24.375,22.75,tc1
3127415.0,24.375,22.75,tc1
3127465.0,24.375,22.75,tc1
3127515.0,24.375,22.75,tc1
3127565.0,24.375,22.75,tc1
3127615.0,24.375,22.75,tc1
3127665.0,24.375,22.75,tc1
3127715.0,24.375,22.75,tc1
3127765.0,24.375,22.75,tc1
3127815.0,24.375,22.75,tc1
3127865.0,24.375,22.75,tc1
3127915.0,24.375,22.75,tc1
3127965.0,24.375,22.75,tc1
3128015.0,24.375,22.75,tc1
3128065.0,24.375,22.75,tc1
3128115.0,24.375,22.75,tc1
3128165.0,25.0625,22.75,tc1
3128215.0,24.3125,22.75,tc1
3128265.0,28.9375,22.75,tc1
3128315.0,35.875,22.75,tc1
3128365.0,47.25,22.75,tc1
3128415.0,58.6875,22.75,tc1
3128465.0,71.5625,22.75,tc1
3128515.0,84.375,22.75,tc1
3128565.0,97.25,22.75,tc1
3128615.0,109.375,22.75,tc1
3128665.0,136.1875,22.75,tc1
3128715.0,143.9375,22.75,tc1
3128765.0,154.8125,22.75,tc1
3128815.0,166.5,22.75,tc1
3128865.0,178.25,22.75,tc1
3128915.0,184.5625,22.75,tc1
3128965.0,187.6875,22.75,tc1
3129015.0,191.625,22.75,tc1
3129065.0,196.375,22.75,tc1
