time,data,ambient,sensor
4276989.0,27.5,22.8125,tc1
4277039.0,26.0,22.8125,tc1
4277089.0,23.625,22.8125,tc1
4277139.0,22.0625,22.8125,tc1
4277189.0,25.9375,22.8125,tc1
4277239.0,27.4375,22.8125,tc1
4277289.0,26.0,22.8125,tc1
4277339.0,24.4375,22.8125,tc1
4277389.0,22.125,22.8125,tc1
4277439.0,28.3125,22.8125,tc1
4277489.0,26.75,22.8125,tc1
4277539.0,25.1875,22.8125,tc1
4277589.0,23.6875,22.8125,tc1
4277639.0,22.125,22.8125,tc1
4277689.0,28.3125,22.8125,tc1
4277739.0,26.75,22.8125,tc1
4277789.0,25.1875,22.8125,tc1
4277839.0,22.875,22.8125,tc1
4277889.0,26.75,22.8125,tc1
4277940.0,27.5,22.8125,tc1
4277990.0,26.0,22.75,tc1
4278040.0,24.4375,22.75,tc1
4278090.0,22.875,22.75,tc1
4278140.0,23.6875,22.75,tc1
4278190.0,26.6875,22.75,tc1
4278240.0,25.9375,22.75,tc1
4278290.0,23.625,22.75,tc1
4278340.0,22.8125,22.75,tc1
4278390.0,26.6875,22.75,tc1
4278440.0,25.9375,22.75,tc1
4278490.0,25.125,22.8125,tc1
4278540.0,23.625,22.8125,tc1
4278590.0,26.0,22.8125,tc1
4278640.0,26.75,22.8125,tc1
4278690.0,26.0,22.8125,tc1
4278740.0,23.6875,22.8125,tc1
4278791.0,22.875,22.8125,tc1
4278840.0,22.125,22.8125,tc1
4278890.0,26.75,22.8125,tc1
4278940.0,26.0,22.8125,tc1
4278990.0,24.4375,22.75,tc1
4279040.0,22.125,22.75,tc1
4279090.0,26.0,22.75,tc1
4279140.0,26.75,22.75,tc1
4279190.0,25.1875,22.75,tc1
4279240.0,23.625,22.75,tc1
4279290.0,22.8125,22.75,tc1
4279340.0,26.6875,22.75,tc1
4279390.0,25.9375,22.75,tc1
4279440.0,25.125,22.75,tc1
4279490.0,23.625,22.75,tc1
4279540.0,22.0625,22.75,tc1
4279590.0,25.9375,22.75,tc1
4279640.0,25.9375,22.75,tc1
4279690.0,25.125,22.75,tc1
4279740.0,22.8125,22.75,tc1
4279790.0,23.625,22.75,tc1
4279840.0,25.9375,22.75,tc1
4279890.0,25.125,22.75,tc1
4279941.0,23.625,22.75,tc1
4279991.0,22.8125,22.75,tc1
4280041.0,25.9375,22.75,tc1
4280091.0,25.9375,22.75,tc1
4280141.0,25.125,22.75,tc1
4280191.0,23.625,22.75,tc1
4280241.0,22.8125,22.75,tc1
4280291.0,24.375,22.75,tc1
4280341.0,25.125,22.75,tc1
4280391.0,24.375,22.75,tc1
4280441.0,23.625,22.75,tc1
4280491.0,22.8125,22.75,tc1
4280541.0,25.125,22.75,tc1
4280591.0,25.125,22.75,tc1
4280641.0,24.375,22.75,tc1
4280691.0,23.625,22.75,tc1
4280741.0,23.625,22.75,tc1
4280791.0,24.375,22.75,tc1
4280841.0,25.9375,22.75,tc1
4280891.0,25.125,22.75,tc1
4280942.0,25.125,22.75,tc1
4280992.0,24.375,22.75,tc1
4281042.0,27.4375,22.75,tc1
4281092.0,27.4375,22.75,tc1
4281142.0,26.6875,22.75,tc1
4281192.0,25.1875,22.75,tc1
4281242.0,24.4375,22.75,tc1
4281292.0,26.75,22.75,tc1
4281342.0,25.9375,22.75,tc1
4281392.0,24.375,22.75,tc1
4281442.0,24.375,22.75,tc1
4281492.0,25.125,22.75,tc1
4281542.0,25.9375,22.75,tc1
4281592.0,25.125,22.75,tc1
4281642.0,24.375,22.75,tc1
4281692.0,23.625,22.75,tc1
4281742.0,25.9375,22.75,tc1
4281792.0,25.9375,22.75,tc1
4281842.0,24.375,22.75,tc1
4281892.0,23.625,22.75,tc1
4281942.0,23.625,22.75,tc1
4281992.0,25.9375,22.75,tc1
4282042.0,25.125,22.75,tc1
4282092.0,24.375,22.75,tc1
4282142.0,23.625,22.75,tc1
4282192.0,23.625,22.75,tc1
4282242.0,26.0,22.75,tc1
4282292.0,25.1875,22.75,tc1
4282342.0,24.4375,22.75,tc1
4282392.0,25.1875,22.75,tc1
4282442.0,24.375,22.75,tc1
4282492.0,26.6875,22.8125,tc1
4282542.0,25.9375,22.8125,tc1
4282592.0,25.125,22.8125,tc1
4282642.0,25.125,22.8125,tc1
4282692.0,26.0,22.8125,tc1
4282742.0,26.0,22.8125,tc1
4282792.0,25.1875,22.8125,tc1
4282842.0,24.4375,22.8125,tc1
4282892.0,23.6875,22.8125,tc1
4282942.0,26.0,22.8125,tc1
4282992.0,26.0,22.75,tc1
4283042.0,25.1875,22.75,tc1
4283092.0,24.375,22.75,tc1
4283142.0,23.625,22.75,tc1
4283192.0,25.9375,22.75,tc1
4283242.0,25.9375,22.75,tc1
4283292.0,24.375,22.75,tc1
4283342.0,23.625,22.75,tc1
4283392.0,22.8125,22.75,tc1
4283442.0,25.9375,22.75,tc1
4283492.0,25.125,22.8125,tc1
4283542.0,24.375,22.8125,tc1
4283592.0,22.8125,22.8125,tc1
4283642.0,24.375,22.8125,tc1
4283692.0,25.9375,22.8125,tc1
4283742.0,25.125,22.8125,tc1
4283792.0,24.375,22.8125,tc1
4283842.0,22.8125,22.8125,tc1
4283892.0,25.9375,22.8125,tc1
4283943.0,26.0,22.8125,tc1
4283993.0,25.1875,22.8125,tc1
4284043.0,23.6875,22.8125,tc1
4284093.0,22.875,22.8125,tc1
4284143.0,24.4375,22.8125,tc1
4284193.0,25.9375,22.8125,tc1
4284243.0,25.125,22.8125,tc1
4284293.0,22.8125,22.8125,tc1
4284343.0,22.0625,22.8125,tc1
4284393.0,26.0,22.8125,tc1
4284443.0,26.0,22.8125,tc1
4284493.0,24.4375,22.75,tc1
4284543.0,23.6875,22.75,tc1
4284593.0,22.125,22.75,tc1
