time,data,ambient,sensor
3742222.0,22.8125,22.75,tc1
3742272.0,22.8125,22.75,tc1
3742322.0,22.8125,22.75,tc1
3742372.0,22.8125,22.75,tc1
3742422.0,22.8125,22.75,tc1
3742472.0,22.8125,22.75,tc1
3742522.0,22.8125,22.75,tc1
3742572.0,22.8125,22.75,tc1
3742622.0,22.8125,22.75,tc1
3742672.0,22.8125,22.75,tc1
3742723.0,22.8125,22.6875,tc1
3742772.0,22.8125,22.6875,tc1
3742822.0,22.8125,22.6875,tc1
3742872.0,22.8125,22.6875,tc1
3742922.0,22.8125,22.6875,tc1
3742972.0,22.8125,22.6875,tc1
3743022.0,22.8125,22.6875,tc1
3743072.0,22.8125,22.6875,tc1
3743122.0,22.75,22.6875,tc1
3743172.0,22.75,22.6875,tc1
3743222.0,22.75,22.6875,tc1
3743272.0,22.75,22.6875,tc1
3743322.0,22.75,22.6875,tc1
3743372.0,22.8125,22.6875,tc1
3743422.0,22.8125,22.6875,tc1
3743472.0,22.8125,22.6875,tc1
3743522.0,22.75,22.6875,tc1
3743572.0,22.75,22.6875,tc1
3743622.0,22.75,22.6875,tc1
3743673.0,22.75,22.6875,tc1
3743723.0,22.75,22.6875,tc1
3743773.0,22.8125,22.6875,tc1
3743823.0,22.8125,22.6875,tc1
3743873.0,22.8125,22.6875,tc1
3743923.0,22.8125,22.6875,tc1
3743973.0,22.75,22.6875,tc1
3744023.0,22.75,22.6875,tc1
3744073.0,22.75,22.6875,tc1
3744123.0,22.75,22.6875,tc1
3744173.0,22.75,22.6875,tc1
3744223.0,22.75,22.6875,tc1
3744273.0,22.75,22.6875,tc1
3744323.0,22.75,22.6875,tc1
3744373.0,22.0,22.6875,tc1
3744423.0,22.75,22.6875,tc1
3744473.0,22.75,22.6875,tc1
3744523.0,22.75,22.6875,tc1
3744573.0,22.75,22.6875,tc1
3744623.0,22.75,22.6875,tc1
3744673.0,22.75,22.6875,tc1
3744723.0,22.75,22.75,tc1
3744773.0,22.75,22.75,tc1
3744823.0,22.75,22.75,tc1
3744874.0,22.75,22.75,tc1
3744923.0,22.75,22.75,tc1
3744973.0,22.75,22.75,tc1
3745023.0,22.75,22.75,tc1
3745073.0,22.8125,22.75,tc1
3745123.0,22.8125,22.75,tc1
3745173.0,22.8125,22.75,tc1
3745223.0,22.8125,22.75,tc1
3745273.0,22.8125,22.75,tc1
3745323.0,22.8125,22.75,tc1
3745373.0,22.8125,22.75,tc1
3745423.0,22.8125,22.75,tc1
3745473.0,22.8125,22.75,tc1
3745523.0,22.8125,22.75,tc1
3745573.0,22.8125,22.75,tc1
3745623.0,22.8125,22.75,tc1
3745674.0,22.8125,22.75,tc1
3745724.0,22.8125,22.75,tc1
3745774.0,22.8125,22.75,tc1
3745824.0,22.8125,22.75,tc1
3745874.0,22.8125,22.75,tc1
3745924.0,22.8125,22.75,tc1
3745974.0,22.8125,22.75,tc1
3746024.0,22.8125,22.75,tc1
3746074.0,22.8125,22.75,tc1
3746124.0,22.8125,22.75,tc1
3746174.0,22.8125,22.75,tc1
3746224.0,22.8125,22.75,tc1
3746274.0,22.8125,22.75,tc1
3746324.0,22.8125,22.75,tc1
3746374.0,22.8125,22.75,tc1
3746424.0,22.8125,22.75,tc1
3746474.0,22.8125,22.75,tc1
3746524.0,22.8125,22.75,tc1
3746574.0,22.8125,22.75,tc1
3746624.0,22.8125,22.75,tc1
3746674.0,22.8125,22.75,tc1
3746724.0,22.8125,22.75,tc1
3746774.0,22.75,22.75,tc1
3746824.0,22.75,22.75,tc1
3746874.0,22.75,22.75,tc1
3746924.0,22.75,22.75,tc1
3746974.0,22.75,22.75,tc1
3747025.0,22.8125,22.75,tc1
3747074.0,22.8125,22.75,tc1
3747124.0,22.8125,22.75,tc1
3747174.0,22.8125,22.75,tc1
3747224.0,22.8125,22.75,tc1
3747274.0,22.8125,22.75,tc1
3747324.0,22.8125,22.75,tc1
3747374.0,22.8125,22.75,tc1
3747424.0,22.8125,22.75,tc1
3747474.0,22.8125,22.75,tc1
3747524.0,22.8125,22.75,tc1
3747574.0,22.8125,22.75,tc1
3747624.0,22.8125,22.75,tc1
3747675.0,22.8125,22.75,tc1
3747725.0,22.8125,22.6875,tc1
3747775.0,22.8125,22.6875,tc1
3747825.0,22.8125,22.6875,tc1
3747875.0,22.8125,22.6875,tc1
3747925.0,22.8125,22.6875,tc1
3747975.0,22.8125,22.6875,tc1
3748025.0,22.8125,22.6875,tc1
3748075.0,22.75,22.6875,tc1
3748125.0,22.75,22.6875,tc1
3748175.0,22.75,22.6875,tc1
3748225.0,22.75,22.75,tc1
3748275.0,22.8125,22.75,tc1
3748325.0,22.8125,22.75,tc1
3748375.0,22.8125,22.75,tc1
3748425.0,22.8125,22.75,tc1
3748475.0,22.8125,22.75,tc1
3748525.0,22.8125,22.75,tc1
3748575.0,22.8125,22.75,tc1
3748625.0,22.0625,22.75,tc1
3748675.0,22.8125,22.75,tc1
