time,data,ambient,sensor
5191946.0,38.1875,22.75,tc1
5191997.0,34.375,22.75,tc1
5192047.0,32.875,22.75,tc1
5192097.0,30.5625,22.75,tc1
5192147.0,35.9375,22.75,tc1
5192197.0,37.4375,22.75,tc1
5192247.0,35.125,22.75,tc1
5192297.0,32.875,22.75,tc1
5192347.0,30.5625,22.75,tc1
5192397.0,35.125,22.75,tc1
5192447.0,37.4375,22.75,tc1
5192497.0,32.875,22.75,tc1
5192547.0,31.3125,22.75,tc1
5192597.0,32.0625,22.75,tc1
5192647.0,38.1875,22.75,tc1
5192697.0,36.6875,22.75,tc1
5192747.0,34.375,22.75,tc1
5192797.0,32.0625,22.75,tc1
5192847.0,30.5625,22.75,tc1
5192897.0,37.4375,22.75,tc1
5192947.0,36.6875,22.75,tc1
5192997.0,34.375,22.75,tc1
5193047.0,30.5625,22.75,tc1
5193097.0,37.4375,22.75,tc1
5193147.0,36.6875,22.75,tc1
5193197.0,35.125,22.75,tc1
5193247.0,32.875,22.75,tc1
5193297.0,31.3125,22.75,tc1
5193347.0,36.6875,22.75,tc1
5193397.0,35.9375,22.75,tc1
5193447.0,34.375,22.75,tc1
5193497.0,32.875,22.75,tc1
5193547.0,30.5625,22.75,tc1
5193597.0,35.9375,22.75,tc1
5193647.0,35.125,22.75,tc1
5193697.0,32.875,22.75,tc1
5193747.0,32.0625,22.75,tc1
5193797.0,32.0625,22.75,tc1
5193847.0,36.6875,22.75,tc1
5193897.0,35.125,22.75,tc1
5193947.0,33.625,22.75,tc1
5193997.0,32.0625,22.75,tc1
5194047.0,31.3125,22.75,tc1
5194097.0,36.6875,22.75,tc1
5194147.0,33.625,22.75,tc1
5194197.0,32.875,22.75,tc1
5194248.0,30.5625,22.75,tc1
5194297.0,35.125,22.75,tc1
5194347.0,35.9375,22.75,tc1
5194398.0,34.375,22.75,tc1
5194448.0,32.875,22.75,tc1
5194498.0,31.3125,22.75,tc1
5194548.0,34.375,22.75,tc1
5194598.0,35.9375,22.75,tc1
5194648.0,32.875,22.75,tc1
5194698.0,32.0625,22.75,tc1
5194748.0,30.5625,22.75,tc1
5194798.0,35.9375,22.75,tc1
5194848.0,35.125,22.75,tc1
5194898.0,33.625,22.75,tc1
5194948.0,32.875,22.75,tc1
5194998.0,30.5625,22.75,tc1
5195048.0,35.9375,22.75,tc1
5195098.0,35.9375,22.75,tc1
5195148.0,32.8125,22.75,tc1
5195198.0,30.5,22.75,tc1
5195248.0,32.8125,22.75,tc1
5195298.0,35.875,22.75,tc1
5195348.0,34.3125,22.75,tc1
5195398.0,32.875,22.75,tc1
5195448.0,31.3125,22.75,tc1
5195498.0,31.3125,22.75,tc1
5195548.0,35.9375,22.75,tc1
5195598.0,35.125,22.75,tc1
5195648.0,32.8125,22.75,tc1
5195698.0,30.5,22.75,tc1
5195748.0,35.0625,22.75,tc1
5195798.0,35.0625,22.75,tc1
5195848.0,33.625,22.75,tc1
5195898.0,32.0625,22.75,tc1
5195948.0,30.5625,22.75,tc1
5195998.0,34.375,22.75,tc1
5196048.0,35.125,22.75,tc1
5196098.0,33.625,22.75,tc1
5196148.0,32.0625,22.75,tc1
5196198.0,35.125,22.75,tc1
5196248.0,35.125,22.75,tc1
5196298.0,34.375,22.75,tc1
5196348.0,32.0625,22.75,tc1
5196399.0,30.5625,22.75,tc1
5196449.0,31.3125,22.75,tc1
5196500.0,35.0625,22.75,tc1
5196549.0,34.3125,22.75,tc1
5196599.0,32.0,22.75,tc1
5196649.0,31.25,22.75,tc1
5196699.0,35.1875,22.75,tc1
5196749.0,35.1875,22.75,tc1
5196799.0,33.6875,22.75,tc1
5196849.0,32.125,22.75,tc1
5196899.0,29.75,22.75,tc1
5196949.0,34.375,22.75,tc1
5196999.0,35.125,22.75,tc1
5197049.0,33.625,22.75,tc1
5197099.0,32.0625,22.75,tc1
5197149.0,30.5625,22.75,tc1
5197199.0,33.625,22.75,tc1
5197249.0,33.625,22.75,tc1
5197299.0,32.0625,22.75,tc1
5197349.0,31.3125,22.75,tc1
5197399.0,29.75,22.75,tc1
5197449.0,34.375,22.75,tc1
5197499.0,33.625,22.75,tc1
5197549.0,32.0625,22.75,tc1
5197599.0,31.3125,22.75,tc1
5197649.0,29.75,22.75,tc1
5197699.0,32.875,22.75,tc1
5197749.0,32.875,22.75,tc1
5197799.0,30.5625,22.75,tc1
5197849.0,30.5625,22.75,tc1
5197899.0,32.0625,22.75,tc1
5197949.0,32.875,22.75,tc1
5197999.0,32.0625,22.75,tc1
5198049.0,32.0625,22.75,tc1
5198099.0,31.3125,22.75,tc1
5198149.0,31.3125,22.75,tc1
5198199.0,31.3125,22.75,tc1
5198250.0,32.0625,22.75,tc1
5198300.0,32.0625,22.75,tc1
5198350.0,30.5625,22.75,tc1
5198400.0,32.0625,22.75,tc1
5198450.0,31.3125,22.75,tc1
5198500.0,29.75,22.75,tc1
5198550.0,29.0,22.75,tc1
5198600.0,28.25,22.75,tc1
5198651.0,30.5625,22.75,tc1
5198700.0,30.5625,22.75,tc1
5198751.0,28.25,22.75,tc1
5198800.0,27.4375,22.75,tc1
5198850.0,27.4375,22.75,tc1
5198900.0,29.75,22.75,tc1
5198950.0,29.0,22.75,tc1
5199000.0,28.25,22.75,tc1
5199050.0,27.4375,22.75,tc1
5199100.0,27.4375,22.75,tc1
5199150.0,29.0,22.75,tc1
5199201.0,29.0,22.75,tc1
5199251.0,28.25,22.75,tc1
5199301.0,27.4375,22.75,tc1
5199350.0,28.25,22.75,tc1
5199401.0,30.5625,22.75,tc1
5199451.0,29.75,22.75,tc1
5199501.0,29.0,22.75,tc1
5199550.0,29.0,22.75,tc1
5199601.0,30.5625,22.75,tc1
5199651.0,30.5625,22.75,tc1
5199701.0,28.25,22.75,tc1
5199751.0,29.0,22.75,tc1
5199800.0,29.0,22.75,tc1
5199850.0,29.0,22.75,tc1
5199901.0,29.0,22.75,tc1
5199951.0,29.0,22.75,tc1
5200001.0,29.0,22.75,tc1
5200051.0,29.0,22.75,tc1
5200101.0,29.75,22.75,tc1
5200151.0,29.0,22.75,tc1
5200201.0,29.75,22.75,tc1
5200251.0,30.5625,22.75,tc1
5200301.0,30.5625,22.75,tc1
5200351.0,30.5625,22.75,tc1
5200401.0,29.75,22.75,tc1
5200451.0,30.5625,22.8125,tc1
5200501.0,30.5625,22.8125,tc1
5200551.0,29.0,22.8125,tc1
5200601.0,30.5625,22.8125,tc1
5200651.0,29.75,22.8125,tc1
5200701.0,29.0,22.8125,tc1
5200751.0,29.75,22.8125,tc1
5200801.0,31.375,22.8125,tc1
5200851.0,29.8125,22.8125,tc1
5200901.0,30.625,22.8125,tc1
5200951.0,30.625,22.75,tc1
5201001.0,28.25,22.75,tc1
5201051.0,30.5625,22.75,tc1
5201101.0,30.5625,22.75,tc1
5201151.0,29.75,22.75,tc1
5201201.0,28.9375,22.75,tc1
5201251.0,27.375,22.75,tc1
5201301.0,30.5,22.75,tc1
5201351.0,29.6875,22.75,tc1
5201401.0,29.6875,22.75,tc1
5201451.0,30.5625,22.75,tc1
5201501.0,27.4375,22.75,tc1
5201551.0,30.5625,22.75,tc1
5201601.0,29.75,22.75,tc1
5201651.0,30.5625,22.75,tc1
5201701.0,26.6875,22.75,tc1
5201751.0,30.5625,22.75,tc1
5201801.0,29.0,22.75,tc1
5201851.0,29.75,22.75,tc1
5201901.0,29.75,22.75,tc1
5201951.0,27.4375,22.75,tc1
5202001.0,29.75,22.75,tc1
5202051.0,29.0,22.75,tc1
5202101.0,29.0,22.75,tc1
